case_id,category,query,sarashina_pass,llm_jp_pass,bucket,sarashina_primary_failure,llm_jp_primary_failure
UU-001,ambiguous_suitability,老人向けイベント,True,True,both_pass,empty_output,empty_output
UU-002,ambiguous_suitability,高齢の母が楽しめるものある？,True,True,both_pass,empty_output,empty_output
UU-003,ambiguous_suitability,シニアにおすすめの催し,True,True,both_pass,empty_output,empty_output
UU-004,ambiguous_suitability,足腰が弱い人でも行きやすいイベント,False,True,llm_jp_only_pass,flow_status_mismatch,
UU-005,ambiguous_suitability,長時間立てない人でも楽しめるもの,False,False,both_fail,experience_require_error,experience_require_error
UU-006,ambiguous_suitability,あまり疲れないイベントがいい,False,True,llm_jp_only_pass,experience_prefer_error,
UU-007,ambiguous_suitability,落ち着いて見たり聞いたりできるもの,False,False,both_fail,experience_require_error,experience_require_error
UU-008,ambiguous_suitability,文化祭初心者でも楽しめるイベント,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-009,ambiguous_suitability,文化に詳しくない人でも楽しめるやつ,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-010,ambiguous_suitability,一人で行っても気まずくないイベント,True,True,both_pass,,
UU-011,ambiguous_suitability,人見知りでも楽しめそうなのある？,True,True,both_pass,,
UU-012,ambiguous_suitability,膝が悪くても無理なく見られるイベント,False,True,llm_jp_only_pass,flow_status_mismatch,
UU-013,ambiguous_suitability,歩くのが苦手だから移動が少ないもの,True,True,both_pass,,
UU-014,ambiguous_suitability,立ちっぱなしじゃないものがいい,True,True,both_pass,,
UU-015,ambiguous_suitability,見るだけで楽しめるイベント,True,True,both_pass,,
UU-016,ambiguous_suitability,体験は苦手。鑑賞中心がいい,True,True,both_pass,,
UU-017,ambiguous_suitability,ゆっくり楽しめるイベント,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-018,ambiguous_suitability,短時間でサッと楽しめるもの,True,True,both_pass,,
UU-019,ambiguous_suitability,初めて文化祭に行く人向けのおすすめ,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-020,ambiguous_suitability,高齢者向けで座って見られるイベント,True,True,both_pass,,
UU-021,underspecified,なんかおすすめある？,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-022,underspecified,いいのある？,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-023,underspecified,今日どこ行けばいい？,True,True,both_pass,,
UU-024,underspecified,今から行けるイベントある？,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-025,underspecified,家族で行きたい,True,True,both_pass,,
UU-026,underspecified,友達と行くなら何がいい？,True,True,both_pass,,
UU-027,underspecified,デート向きのイベントある？,True,True,both_pass,,
UU-028,underspecified,一人で行くならどれ？,True,True,both_pass,,
UU-029,underspecified,夕方ちょっと暇なんだけど,True,True,both_pass,,
UU-030,underspecified,半日だけなら何ができる？,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-031,underspecified,せっかくなら愛媛らしいものが見たい,True,True,both_pass,,
UU-032,underspecified,人気のイベント教えて,True,True,both_pass,,
UU-033,underspecified,有名なやつある？,True,True,both_pass,,
UU-034,underspecified,絶対外さないイベントを1つ選んで,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-035,underspecified,どれが一番おすすめ？,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-036,compound_constraints,祖母と小3の孫で行きたい。座って楽しめて無料がいい,True,True,both_pass,,
UU-037,compound_constraints,11月4日に松山で、雨でも行けて予約なしのイベント,False,True,llm_jp_only_pass,reservation_error,
UU-038,compound_constraints,南予で午後、工芸が見たい。料金は1000円までならOK,True,True,both_pass,,
UU-039,compound_constraints,親子で体験できて、申し込み不要のもの,False,True,llm_jp_only_pass,experience_require_error,
UU-040,compound_constraints,高齢の父と一緒。あまり歩かず屋内で見られるもの,True,True,both_pass,,
UU-041,compound_constraints,11/3の松山で、座って見るか聞く中心で無料のイベント,False,False,both_fail,experience_require_error,experience_require_error
UU-042,compound_constraints,東予で小学生向け、雨でも行きやすくて午前のもの,True,True,both_pass,,
UU-043,compound_constraints,南予の歴史系で、予約不要、夕方に行けるイベント,True,True,both_pass,,
UU-044,compound_constraints,5歳でも参加できる手作り体験がいい,True,True,both_pass,,
UU-045,compound_constraints,大人向けで工芸、屋内、500円以下,False,True,llm_jp_only_pass,audience_error,
UU-046,compound_constraints,11月4日に松山で無料のイベントを2つ回りたい,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-047,compound_constraints,11/4、松山で午前と午後に1つずつ見たい,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-048,compound_constraints,祖父母と孫で、子ども向けだけどあまり歩かないもの,True,True,both_pass,,
UU-049,compound_constraints,雨なら屋内がいいけど、晴れなら屋外でもいい,False,False,both_fail,flow_status_mismatch,flow_status_mismatch
UU-050,compound_constraints,松山で予約不要、座って楽しめるもの。無料じゃなくてもいい,False,False,both_fail,reservation_error,fee_error
UU-051,context_followup,その中から南予だけにして,True,False,sarashina_only_pass,,region_error
UU-052,context_followup,無料のだけ残して,False,True,llm_jp_only_pass,fee_error,
UU-053,context_followup,予約いらんやつだけ,False,True,llm_jp_only_pass,reservation_error,
UU-054,context_followup,2番目っていくら？,True,True,both_pass,empty_output,empty_output
UU-055,context_followup,2番目はなんで選ばれたの？,True,True,both_pass,empty_output,empty_output
UU-056,context_followup,どういう基準でこの結果になったの？,True,True,both_pass,empty_output,empty_output
UU-057,context_followup,2番目と似たのある？,True,True,both_pass,empty_output,empty_output
UU-058,context_followup,そのイベントのあと何か行ける？,True,True,both_pass,empty_output,empty_output
UU-059,context_followup,3番目の場所だけ教えて,True,True,both_pass,empty_output,empty_output
UU-060,context_followup,じゃあ子ども向けだけに絞って,True,True,both_pass,,
UU-061,context_followup,もっと座って見られるのだけ,True,True,both_pass,,
UU-062,context_followup,逆に体験型は外して,False,False,both_fail,scope_error,scope_error
